dataset_index,history_id,true_label,phrase,target_type,dimension,dimension_value,configured_gender,indicator_name,baseline_p_male,ablated_p_male,effect_of_phrase_presence_on_p_male
1500,0d6351a6bf044f5b6114847cb4238fbb8985556fc15063cfa450ecd47351edaa,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.3658255934715271,0.6341744065284729
1641,517d91842ee3eed2d0963e4b101a55f85fda2d1d33f7b7bec3bf1a44508cdf99,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.0008649213123135269,0.9991350786876865
1642,41b1255afeca178a0dc072ec820387b5170ddc970c627848c178b414fcc5977c,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.0009431392536498606,0.9990568607463501
1925,24aeeed1a282a1e1c89fd55678b666c2c5a19d3995f649980f9659c92ac00323,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.8931758999824524,0.10682410001754761
2389,107dc78795c0e18e0f52cd8ecdab3b34717f0a2130b98eaa88b81c827129c201,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9997476935386658,0.0002523064613342285
2459,ec2db80ac0f0364a416a984b3d9549f2b8052302a542947b64310d23816e16cb,Male,football,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.010354271158576012,0.9896456096321344
2494,1472e0d01957eaa7f649e88ef9d8dd3cf5083a5c4d57e7b8e1e97a8b608a6905,Male,football,Gender indicator,Gender,Male,Male,Hobby,0.9999996423721313,0.09436371922492981,0.9056359231472015
2852,939fbe248b1db554b9d853cfeca995056c450c57a251231747f050202311bf08,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999933242797852,6.67572021484375e-06
2853,4ee3eee9c1ae6d557a7d6a8098bb248cab0cba751b5eea31f6a235d5accb15ff,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999954700469971,4.5299530029296875e-06
2919,e23896757ef06554fd437e6964fc9af28d0c5eb620708086063e7a310339b85e,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.08230723440647125,0.9176927655935287
2921,2115dd4f0b4d1daa10d9276f0bd552499fe4da4eb668038855a3fa869aba7c63,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.12946535646915436,0.8705346435308456
2990,d1313fadd7bd6ec07b78f458b395ea3f356b486163819bd403e2a848fdb8e737,Male,football,Gender indicator,Gender,Male,Male,Hobby,0.9999992847442627,0.09144402295351028,0.9085552617907524
3025,34da5bef3509e70b3a744971325d6cb59d28b7483d3cc03a22a1ba5c8e9c6d91,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999983310699463,1.6689300537109375e-06
3311,f216f6b53c428f6072a32c1a837110413d0f0ff6a0a13e28181e3dbbbfb40f10,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9849551320075989,0.015044867992401123
3312,d89d008a3e9f43ceb658c9cbdf9f79ce65da96f3fba1bb653e1a49f60fd98104,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999387264251709,6.127357482910156e-05
3314,8ab8ad9e41e33afcd63e9320389b787e17a253a53c6f098e0ffcfddbef427634,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9968355298042297,0.0031644701957702637
3385,145ae89e2be2fa3fd3c3726d95220408d27ad5f129f591a24b8a970c9e57ab70,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9238282442092896,0.07617175579071045
3418,5a1e9f7969ce8f85c9bb07dde5692ca390a010d7c4ef017fa4fdfb3fe62cd67e,Male,football,Gender indicator,Gender,Male,Male,Hobby,1.0,0.0008354081655852497,0.9991645918344148
7,7e3f8d68e91787b122cbd030a92a9ab90afed20244feb271b97bf6572759793a,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,1.0,0.0
121,7ef27c17f837313f6384c1d8379dcb67b6a08b509f9a1a5d6e6a1a089e475b63,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9961503744125366,0.003849625587463379
190,9a5bc3e8b16b9c608137925508ef5ef007443b1fff11384e4c8a25b34426ebff,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999995231628418,0.9998158812522888,0.00018364191055297852
261,21c4ae2894310655fbc4dee221ba4833cb7aca12c905386ff5d3022b1c232cf0,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,0.6942829489707947,0.3057170510292053
616,22f8c716325e766a37da7a9e7600a424acf22dfbdcbd269c6a6973c91e4b6247,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999990463256836,0.9996824264526367,0.000316619873046875
617,6b41ddf080136bbce115d804055484cd56a4be13a4c89f6cdfdaaf111bbff01d,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999997615814209,0.9999018907546997,9.78708267211914e-05
1080,07b8cc8c5792b70d9441b65f96ade4f8c8938afb84b1e18e55b78e4c9cd8e89d,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.996667206287384,0.9708207845687866,0.025846421718597412
1112,ee5ebb17ff32d7d88648216522c80c0cd0cade2cad85a01ead4db1fd363389e8,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999994039535522,0.9662930965423584,0.03370630741119385
1574,ddb7ef2678cb99b25c42926a32a13975939e431917370945b45922637e2d2a0b,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,1.0,0.0
1608,2026c8acafe00cb282b491c57002467d3de6050eea7c3d61a5c67d7762cb5017,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999823570251465,0.00027568594668991864,0.9997066710784566
1930,128fe5c742016f2229df0b12037354040ca0bb540e72b98d3e3d61e1334c4f5a,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999336004257202,0.8931758999824524,0.10675770044326782
2431,fc3f19efe08d205bb147eb0123dc0f3cf63db27345d5c1a633b153d0a702b71d,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.999961256980896,0.8709064722061157,0.12905478477478027
2497,c36794cd5ed9c3dc0adacc555b113182c7143986a800329d1b55ed659338a009,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9985389709472656,0.06292138993740082,0.9356175810098648
2498,c1a7f88fa239c7a6d3434b224e420981c1cdd27fb895362042f34c4960f52aa5,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9998781681060791,0.9304010272026062,0.0694771409034729
2570,646d392a4ceedb8ba57634ef4cd681adaa390ce5dc634e051043775d6ccac605,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9999474287033081,0.08673074096441269,0.9132166877388954
2858,df8cfe47e219a3158b569069bce2290bf6add57f8f872bf725a1040ba7430867,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999978542327881,2.1457672119140625e-06
2893,640369ae8d08bd6a1d97833de51adb0aeeb884507be5d8a569e06aedfb55aaae,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9972131848335266,0.8918906450271606,0.10532253980636597
2925,a8e41a55cfdfa4f07e6862d15f2beb327b2955887bd08698a8cd30192e2cface,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,0.8552781939506531,0.14472180604934692
2961,ff61ebf02a3edbee08b3de21bc4a96548e96334089994091f8a525d5fb13b964,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9998453855514526,0.05951043590903282,0.9403349496424198
2994,ab7ede1750f8429c5adc4a32081f918a2c96d3aab5b7e2b0d71bec4377ef01b3,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,0.9823427796363831,0.01230762992054224,0.9700351497158408
3458,0eed101bdb0f8f86c092daadd41633adce70481cf472b0d452a344a52463ac72,Male,gaming,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9867855906486511,0.013214409351348877
123,895a6b57f8f2e7e7be9196abbd1880f27fa06c193488ddb38f8022e655e4eaf5,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.9999254941940308,7.43865966796875e-05
158,108b786748a09bba3d19ac24f54056ec4a2109761b471e9d57c399dd38684e26,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9923319816589355,0.007668018341064453
159,d8402fe35dfa29aecc0ba7259a02920e76c42be35d95e07eb2cc9f078bf812ff,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999830722808838,0.6800943613052368,0.319888710975647
161,098cc5d40cf34b21605c1a81892dd3893d8e0ae1ac460c09434b6e729ef39d45,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999732971191406,0.8768186569213867,0.1231546401977539
192,afeab854d762296d18df53f9b26d9ca11bd046de6f70a4e546fc9e64bad4f068,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999963045120239,0.9995108842849731,0.00048542022705078125
196,3ed8fc3f28085b04bb7a71ff8f96de2ed4b3cf453152cea5d3f5b066eb8ace28,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999973773956299,0.9998606443405151,0.0001367330551147461
231,f0227cb2cd17e2412335e71a0de5038ac546298de1cefec6926e192ed237c65d,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9996213912963867,0.09161638468503952,0.9080050066113472
263,fefa6b976c538e4f5dcd8c9c1ff7862ed7a29f21aeee76a192aa0dc975c8907b,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999687671661377,3.123283386230469e-05
620,1fdc371d2ba2ceaccd28886ff6c892c9f17c1e2f86f5088f01d1df6004ab6dd2,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999969005584717,3.0994415283203125e-06
656,e4012fff9331d5fe2c6e3ef2a135efefb4954dd18e165919b7e2407d9d04e2fb,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9997848868370056,0.7616782784461975,0.2381066083908081
724,88fceb164969d73a055edceb78f15fd328d0c526469633ee42df93964244a172,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,1.0,0.999883770942688,0.00011622905731201172
725,789b18f9777da6a27e4f859b85a862eb21bdbe163a5930a5728d099865cf1529,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999971389770508,2.86102294921875e-06
1046,7382c9ede1d08e846b0580e4900f339143df9c95c0373adc6f49fe357b2133dc,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999990463256836,0.9960654377937317,0.003933608531951904
1050,f24842512b3c393849481853457ccdbddc1eaefa9270752437a866b0741dc3ca,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999997615814209,0.9988414645195007,0.001158297061920166
1082,8f2bf8a61a5572cbdc396b4b79f517f68ab6843c15098aff2512a563cffdb502,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999914169311523,0.9715771675109863,0.028414249420166016
1153,b1094e3fb7a6d937b0e4cc731e45c9de49ec4302af99f2d47d663cc66fadedd3,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999983310699463,0.9906849265098572,0.009313404560089111
1188,b401243cddeb04070fb9154124beb2441ea9f2b4ec2fd58459ca530505379e2e,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.5828671455383301,0.41713273525238037
1189,db60df1a82dd51e42dbdb76958ee0267f77b1da9debfbec965e55721806de545,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.9098122119903564,0.090187668800354
1512,7b97479cd70da101fd1e7b592b4c89111e45fe4ecf5f36b32a522e8f74ab621b,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999994039535522,0.6026157140731812,0.3973836898803711
1544,d0f93c3985e69408fafbf44f48a52540fb04fd7d4c245d744e4b0af94083e5c8,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9999985694885254,1.430511474609375e-06
1581,dcc492f4eb948860c72d5ba0d9b2e56898195f3a36c1c807e53bc6db763c9598,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.9999959468841553,3.933906555175781e-06
2079,1ddac3800f7d22ff82e81c7d335fee260d77617fe95213d4502af29883ddfd2d,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999282360076904,0.5427569150924683,0.45717132091522217
2433,30394cf380dc3d75ee8fa07925a510ac4f2c43141cc86d1dcc28122010503e5d,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.999998927116394,0.997911274433136,0.0020876526832580566
2435,609e0c70f70b40a515eb7d498d4721f551a258d126bac5e860fd94e82d4556eb,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999876022338867,0.9553607106208801,0.04462689161300659
2468,6824a3cc6ab1f61747ac652cbc4b442e576f084b2d4c3a5bc91004d1ce24e3ea,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9973228573799133,0.5247620940208435,0.4725607633590698
2540,092b003a07d9c4d34ffeb6b1ead539a2c6b96522c39e10f34def3d517850e21c,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.998865008354187,0.41395124793052673,0.5849137604236603
2573,b72617fa97a601b9c1919fffaf352dcefdeec0ef95689b3df88ef3c8f648eebe,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9989902377128601,0.9849122762680054,0.014077961444854736
2574,62051d22d0fb98da761167d2dc9ad81df664e6ffc2fee99265f5dd7fdf3ddb38,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9998569488525391,0.021927233785390854,0.9779297150671482
2929,b528055cc517058037687e1a89ebe38e31825be5b7911e6d0f3307ed3463827c,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999970197677612,0.04943454638123512,0.9505624733865261
2999,c99136d010db62f2a94fafe71db20f1e49ff3f564ff10a9a3dfd13e636608771,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9994555115699768,0.009294267743825912,0.9901612438261509
3324,75b5990e9c4ca129efc5fc707f34f4a4283c98ab69151cbc35eb7962922fbf1c,Male,weight lifting,Gender indicator,Gender,Male,Male,Hobby,0.9999642372131348,0.9968355298042297,0.0031287074089050293
16,d7143423aa8c6dc4d94ad20cf7b359d38fb8ea9e1061ed6c405f9e9b72babd6b,Male,cars,Gender indicator,Gender,Male,Male,Hobby,1.0,1.0,0.0
19,c9835b116c009348643581f9afc17af1ad32690e904955220e5a848d059c43a3,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9975753426551819,1.0,-0.0024246573448181152
92,7290b3c6edf47b7fa1f8720264d7772f535b784d6a93716d3dcb426e9453d379,Male,cars,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9989635944366455,0.0010364055633544922
127,f7ffe55d6c508cd144a75d6675981f39c0cc9c1264c8effdf68755c1896f55a7,Male,cars,Gender indicator,Gender,Male,Male,Hobby,1.0,0.989733874797821,0.010266125202178955
166,637e8a2b1007ecc855f534dd5c63d7ad30a8df0e04fa0ffebf93385bfae8e429,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.999992847442627,0.8424524068832397,0.1575404405593872
271,b081720db5bbb687cddfcdb7ac93df99b1fe718dabcef58bf986d1a858ad00f6,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.6942829489707947,0.30571693181991577
555,62b333562ed4c185202a0e7ecf443c9ed40e9f2ddaf5a64f77918b9395c4b565,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999966621398926,0.7252132296562195,0.2747834324836731
624,a04e6a071d34dd5dd39ec3c68f61e749c46b908998c67499850da7e9b93caa57,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999984502792358,0.9992607235908508,0.0007377266883850098
626,eb9dc62916a75b92b54842d0bf3ab57d31afbc3005f676e3d3154dda7af226dc,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.999993085861206,0.9996824264526367,0.00031065940856933594
661,66ae47597e0447a9dbe55ade632ffdc36043057af47745082611f02a66287237,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999703168869019,0.7616782784461975,0.23829203844070435
730,6770112203947705e333767266c6dac105b6cc565738ea76a56910a3bb1d7f0c,Male,cars,Gender indicator,Gender,Male,Male,Hobby,1.0,0.999998927116394,1.0728836059570312e-06
1054,8827e2defc92529dc26c228b840441de64d057bd7301821b2ed3ad5ff059197a,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999872446060181,0.9948241710662842,0.005163073539733887
1086,f9e5e3c62a68fd3411509fbb3ddc7a3d2432cecba419f3a30e146cc12324e008,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9933466911315918,0.8960376977920532,0.09730899333953857
1087,3845cd06d6721c434502d48deb347a139f3639778e1a2e9f2cfe917e9afaa5f7,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9998873472213745,0.9750744104385376,0.024812936782836914
1089,dd4f8c3a8150de1e8e4020eb35bed092faa6822a874322a7304ee1986dee0040,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9987230896949768,0.8552022576332092,0.14352083206176758
1123,2853ec512d4f3d0d43817fd5c8c45e0bfb83d5b3bf26bd70b0cdfbf537e4b965,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9998123049736023,0.48711368441581726,0.512698620557785
1159,ae49a290af59ee7089f7a5f22b6d74eeb3082bc1c316621bf60b8587a0bd6006,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.999900221824646,0.9873485565185547,0.012551665306091309
1160,d5f06d5dc23f60597f1d545da51c31dba2dd21c8cd0dabbb3a5b09de7cbce8ab,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9997667670249939,0.9899795055389404,0.009787261486053467
1193,a924cc85ee4baa8a7ae19fe03a8d1a2127550b602cee93c80dc4d4b3cb1a0906,Male,cars,Gender indicator,Gender,Male,Male,Hobby,1.0,0.5828671455383301,0.4171328544616699
1478,b0dfad5120ddb22747fc17416a483b0e22367c6226bc21a4ed69cbde55020730,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9978516101837158,0.9726041555404663,0.02524745464324951
1481,28b7416436bab9ce6afb0169cc175d899718d682d645e30624e57ef8d42c57ed,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9998546838760376,0.9497601985931396,0.05009448528289795
1514,47c57efa43e9a1ff12c30f13ac99b0003657996bd0528086913ae9183dae90f2,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999995231628418,0.9400326609611511,0.059966862201690674
1656,8c1cde06bd25341ed25b9b0936d3e46b85999c0f5e03505519915b478e36625f,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9996060729026794,0.0016356201376765966,0.9979704527650028
2013,95b988b771909213accea19f4dbcb1c9df99f2ba54a044168881e2959bea205d,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999957084655762,0.8706229329109192,0.12937277555465698
2046,a5c2ea04cd403817e7c078d7b472e0ec12f8cfb246f691b28d7172a49e3e7831,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999104738235474,0.9394366145133972,0.060473859310150146
2403,fb3f7a61f3c36d75c099dcc90d889b57ac6e9dcc1b9297a645ad9cd6b1c02e3e,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.999998927116394,0.9999679327011108,3.0994415283203125e-05
2437,7a659784ea971cbf40346042c318fd659f59632a937b1beba8976954c95a4046,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9998844861984253,0.7758129835128784,0.22407150268554688
2440,d36092d7ed41c02daa50aef0f7636cc821e19a01bdcad7994f3673be8489c4c6,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999276399612427,0.9553607106208801,0.04456692934036255
2900,1feaa09b49d2158b5d1e5ae4ebdb007f8e1b21c3fc4bc4a44640315422835de9,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9985516667366028,0.9926539659500122,0.005897700786590576
2936,8f7108622eab3c9c9d08b5cda96f2bec94b040a1eb7130980b0e96cca8fd43a2,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9999263286590576,0.08332494646310806,0.9166013821959496
2969,34d45ffb434a0c272bd2f3f9dcaf1a997f28978e065ada5a36767d47b4a4d62d,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9951223731040955,0.06301011145114899,0.9321122616529465
3326,a17817b672d46be840921c48954be188e227bc3c7dada7a9a8f97d7a603f9716,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9966951608657837,0.9904763698577881,0.0062187910079956055
3466,087f687cccbb22a943c59a9e20786f634fc8887b142389ebfbb809bbeeb433ad,Male,cars,Gender indicator,Gender,Male,Male,Hobby,1.0,0.9944673776626587,0.005532622337341309
3504,297012ffc9ed6a52ad5d2ce74d58036f1a1bcc97d6961a6dbe0f00922d9ccc11,Male,cars,Gender indicator,Gender,Male,Male,Hobby,0.9985474944114685,0.008483586832880974,0.9900639075785875
132,e54a1f51d03a7b144ee7c6e7eec0e645b454f475de4418bbbc1bf89df99b41dd,Male,investing,Gender indicator,Gender,Male,Male,Hobby,1.0,0.989733874797821,0.010266125202178955
206,84089b77c4c302e41c934a9b9548ed70c4777b2906d788b05c47791198212b84,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999890327453613,0.9998606443405151,0.0001283884048461914
561,37c46562112997027d07ab577a0e36340c9fbd50799bdf326ab939c5590a19a1,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999986886978149,0.061269983649253845,0.9387287050485611
562,e8bdf552284824bb6c102f0388a7fab0f1a446c613fabf9a78ad4532f5e66857,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.09723827987909317,0.9027616009116173
597,9f33d0cb7c647ea9ea2030a79e3d9029835687fddd83d232046fdaedaba1eb2a,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.999961256980896,0.0010283127194270492,0.998932944261469
702,bb421809f5b419dad8496fac6a7fde0ebca6af5bd5b14a1e39e0d3e3a26e5617,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9997361302375793,0.013198988512158394,0.986537141725421
1057,9ffd7b2f48f5dcf75eefb3ac999a7281edce0acb3e0395f8b4803237eb8e3d95,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999997615814209,0.9999996423721313,1.1920928955078125e-07
1060,856f905fa60734c335101559ee03122ba028b027b4b99b41af870f56c08d6bd0,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999984502792358,0.9977889060974121,0.0022095441818237305
1092,fd1d6ee8c617673864947039e98e56baf70aea5cec5036e7d03ca716eea50190,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999575614929199,0.9750744104385376,0.024883151054382324
1129,92846eb28f6fa04ae3291d357fe0f8c91256894a311c4b0bb6d6bab7d5017e4d,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999719858169556,0.7756917476654053,0.2242802381515503
1130,12128be689ed65019c1213c6fee77a4a40242eab21058697ee4af000fb619dd0,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999136924743652,0.6946940422058105,0.3052196502685547
1165,28949f03773bcb0ae205998bd0f12a05488282f1e048819c8fdf420136fa3243,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9997194409370422,0.9899795055389404,0.009739935398101807
1522,7638e41687173a2dd02530f3497e219293ab2a9edd7d2d6b6e22052d75e0ada8,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999992847442627,0.61496901512146,0.38503026962280273
1554,f05ec02398e0c6cb43e4efd6dea39bba19d2dc71c9f9edc301c462def841cb4e,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999994039535522,0.999998927116394,4.76837158203125e-07
1624,beaf8db8298ded6f5ba7d609ed54dd8811ce35937629e36fca98b5c22e75e9a5,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9992682337760925,0.0031974611338227987,0.9960707726422697
1947,2f4c352ca4946267e8c1bfa55d3e963f5a8e0ad8bb89b1d73a08457b6481b653,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9988551139831543,0.912268877029419,0.08658623695373535
1981,3cfbd9ae2fc940c76f5a807be06ee021e351a88f3a11b4f6b83288e597bf667e,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9990046620368958,0.9601007103919983,0.03890395164489746
2050,91dce78accaa55e9e674a237dfdfb250e5a8258aaf40f68615976968a184cb52,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9627148509025574,0.9638833999633789,-0.0011685490608215332
2085,f3c98c182621767fd181c031da2711ef0b0b306b1b3d0341f7eaf1b747c01cb3,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9997876286506653,0.7225792407989502,0.2772083878517151
2086,4081a31d3dde39f2f46bf5489fb50c303afd3ba4e1d9dd1d0f108d6a5823776c,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999765157699585,0.9824472069740295,0.017529308795928955
2120,b33561ba010524052a22ea015d6f495c14a0cf1fc4bffa5890412ad658e7b2ae,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999792575836182,0.028342464938759804,0.9716367926448584
3403,790e6e9a80da40f05d54f33b9473e683fd3713d41494b898154e9c79d071bc2a,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9999998807907104,0.9828367233276367,0.01716315746307373
3436,115422d8909bb0943b0323a0ff7ecab0cb14187cf9ee59a09071d1537bb2bca3,Male,investing,Gender indicator,Gender,Male,Male,Hobby,0.9994753003120422,7.776424899930134e-05,0.9993975360630429
